name,community,,Total:,"  Less than $10,000","  $10,000 to $14,999","  $15,000 to $19,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $74,999","  $75,000 to $99,999","  $100,000 to $124,999","  $125,000 to $149,999","  $150,000 to $199,999","  $200,000 or more"
"Miami-Dade County, Florida",Miami,Estimate,825337,82576,57463,51611,51175,50290,44813,41989,40317,33311,64004,76418,84900,52434,29575,30450,34011
,,Margin of Error,"+/-3,628","+/-2,214","+/-1,861","+/-1,886","+/-1,845","+/-1,959","+/-1,509","+/-1,619","+/-1,527","+/-1,379","+/-1,964","+/-2,052","+/-2,003","+/-1,558","+/-1,218","+/-1,424","+/-1,294"
"Palm Beach County, Florida",Palm Beach ,Estimate,523559,33570,27247,26856,29332,27895,26609,26486,27105,22015,42687,50879,59798,39759,25867,24655,32799
,,Margin of Error,"+/-3,069","+/-1,194","+/-1,210","+/-1,138","+/-1,246","+/-1,072","+/-1,114","+/-1,221","+/-1,108","+/-1,202","+/-1,342","+/-1,354","+/-1,464","+/-1,340","+/-1,164",+/-948,"+/-1,214"
"Jasper County, Indiana",Gary,Estimate,12175,462,490,598,471,659,576,652,683,748,1253,1588,2147,1156,331,235,126
,,Margin of Error,+/-266,+/-138,+/-124,+/-148,+/-124,+/-178,+/-140,+/-165,+/-189,+/-172,+/-212,+/-237,+/-298,+/-192,+/-102,+/-87,+/-66
"Lake County, Indiana",Gary,Estimate,183198,15885,10789,10836,10141,9764,9898,8506,8992,7603,16018,19750,24021,13346,8279,5609,3761
,,Margin of Error,"+/-1,262",+/-813,+/-667,+/-508,+/-622,+/-598,+/-639,+/-628,+/-758,+/-525,+/-837,"+/-1,015","+/-1,007",+/-695,+/-548,+/-412,+/-352
"Newton County, Indiana",Gary,Estimate,5370,330,315,267,288,310,367,268,350,330,430,630,910,304,103,78,90
,,Margin of Error,+/-149,+/-97,+/-93,+/-97,+/-98,+/-98,+/-132,+/-82,+/-103,+/-95,+/-117,+/-120,+/-166,+/-102,+/-53,+/-49,+/-36
"Porter County, Indiana",Gary,Estimate,61399,3051,2618,2780,2648,2814,2967,2725,2865,2394,4812,6756,9698,6901,3573,2893,1904
,,Margin of Error,+/-524,+/-470,+/-355,+/-382,+/-333,+/-379,+/-411,+/-357,+/-344,+/-312,+/-460,+/-557,+/-619,+/-534,+/-374,+/-322,+/-274
"Bucks County, Pennsylvania",Philadelphia,Estimate,229955,6558,7204,7627,8030,7771,8725,8609,9322,8160,18418,22968,33454,26513,18197,19871,18528
,,Margin of Error,"+/-1,078",+/-572,+/-524,+/-531,+/-541,+/-532,+/-646,+/-521,+/-741,+/-564,+/-879,+/-855,+/-928,+/-946,+/-826,+/-901,+/-697
"Chester County, Pennsylvania",Philadelphia,Estimate,182732,5997,4447,5358,5005,5904,6362,5843,6346,5199,12360,16634,25900,21485,14179,19267,22446
,,Margin of Error,+/-941,+/-548,+/-487,+/-479,+/-448,+/-539,+/-538,+/-482,+/-483,+/-434,+/-707,+/-756,+/-956,+/-923,+/-627,+/-750,+/-845
"Delaware County, Pennsylvania",Philadelphia,Estimate,206596,10884,8407,8607,8974,9333,9576,8838,9561,8279,15353,20999,27242,18714,13785,14068,13976
,,Margin of Error,"+/-1,001",+/-736,+/-599,+/-563,+/-649,+/-600,+/-590,+/-520,+/-610,+/-658,+/-728,+/-907,"+/-1,054",+/-726,+/-557,+/-654,+/-658
"Montgomery County, Pennsylvania",Philadelphia,Estimate,307598,11330,8921,9789,10096,10761,12067,10869,11771,10210,21773,29597,44477,34233,23841,26723,31140
,,Margin of Error,"+/-1,198",+/-634,+/-581,+/-759,+/-681,+/-725,+/-789,+/-713,+/-679,+/-689,+/-923,+/-904,"+/-1,240","+/-1,081",+/-771,+/-847,+/-799
"Philadelphia County, Pennsylvania",Philadelphia,Estimate,578125,86139,47954,40591,36990,32981,32267,29628,27363,23349,43621,49387,54727,30202,15987,14847,12092
,,Margin of Error,"+/-2,638","+/-2,065","+/-1,444","+/-1,564","+/-1,376","+/-1,304","+/-1,189","+/-1,372","+/-1,238","+/-1,174","+/-1,483","+/-1,684","+/-1,600","+/-1,138",+/-871,+/-783,+/-711
"Long Beach city, California",Long Beach,Estimate,161932,9860,10531,8877,9015,8555,8533,6984,7269,6777,13346,15599,19858,12122,7874,9118,7614
,,Margin of Error,"+/-1,492",+/-652,+/-727,+/-616,+/-598,+/-600,+/-666,+/-603,+/-697,+/-592,+/-706,+/-769,+/-816,+/-717,+/-575,+/-574,+/-570
"San Jose-Sunnyvale-Santa Clara, CA Metro Area; California",San Jose,Estimate,616437,23487,19517,18914,20039,19410,18261,18165,20748,16624,35729,52117,78383,66496,51046,68557,88944
,,Margin of Error,"+/-1,973","+/-1,034","+/-1,023",+/-943,"+/-1,113","+/-1,052",+/-859,"+/-1,004","+/-1,018",+/-823,"+/-1,304","+/-1,453","+/-2,164","+/-1,974","+/-1,292","+/-1,704","+/-1,622"
"Boulder, CO Metro Area; Colorado",Boulder,Estimate,118545,7651,4371,5082,5150,5267,5091,5130,4860,4046,7576,11202,14747,10764,7901,9694,10013
,,Margin of Error,+/-883,+/-655,+/-404,+/-506,+/-504,+/-535,+/-488,+/-474,+/-490,+/-438,+/-532,+/-735,+/-684,+/-534,+/-549,+/-621,+/-487
"North Port-Bradenton-Sarasota, FL Metro Area; Florida",Bradenton,Estimate,300574,18039,17228,17073,17097,17723,17956,17117,16456,15131,25789,30943,34421,21577,11135,10849,12040
,,Margin of Error,"+/-2,287",+/-997,+/-840,"+/-1,114",+/-980,+/-875,"+/-1,037",+/-963,+/-870,+/-920,"+/-1,000","+/-1,087","+/-1,251","+/-1,033",+/-725,+/-765,+/-680
"Tallahassee, FL Metro Area; Florida",Tallahassee,Estimate,141848,17683,8072,8067,7812,7219,7447,7577,7032,5868,11075,13104,16157,9745,6274,4920,3796
,,Margin of Error,"+/-1,314","+/-1,166",+/-646,+/-699,+/-709,+/-647,+/-597,+/-570,+/-587,+/-569,+/-681,+/-759,+/-836,+/-732,+/-542,+/-474,+/-388
"Columbus, GA-AL Metro Area (part); Georgia",Columbus,Estimate,89175,8912,5841,5487,5455,6152,4922,4133,4677,3840,7277,8937,10022,5511,2829,2660,2520
,,Margin of Error,"+/-1,299",+/-581,+/-489,+/-534,+/-525,+/-555,+/-573,+/-395,+/-471,+/-489,+/-556,+/-673,+/-609,+/-492,+/-379,+/-318,+/-256
"Macon, GA Metro Area; Georgia",Macon,Estimate,84807,10080,6363,5900,5730,5148,4955,4324,3379,3510,6814,7935,8239,5049,2742,2467,2172
,,Margin of Error,"+/-1,081",+/-596,+/-635,+/-565,+/-598,+/-610,+/-613,+/-476,+/-399,+/-391,+/-548,+/-573,+/-605,+/-523,+/-377,+/-372,+/-305
"Milledgeville, GA Micro Area; Georgia",Milledgeville,Estimate,19287,2734,1407,1963,1594,1184,887,1069,886,813,1390,1659,1572,1115,460,352,202
,,Margin of Error,+/-669,+/-425,+/-270,+/-339,+/-303,+/-235,+/-225,+/-242,+/-207,+/-237,+/-268,+/-265,+/-225,+/-240,+/-160,+/-135,+/-89
"Fort Wayne, IN Metro Area; Indiana",Fort Wayne,Estimate,160073,9543,8086,8227,9156,10005,9547,8972,8667,8107,15680,18813,20437,11086,5458,4602,3687
,,Margin of Error,"+/-1,308",+/-648,+/-575,+/-613,+/-554,+/-672,+/-621,+/-693,+/-632,+/-580,+/-734,+/-705,+/-932,+/-630,+/-381,+/-361,+/-326
"Wichita, KS Metro Area; Kansas",Wichita,Estimate,238268,14755,12715,13456,14122,13829,13377,12676,12833,11070,20347,26190,30604,18722,9249,8046,6277
,,Margin of Error,"+/-1,304",+/-756,+/-683,+/-790,+/-893,+/-846,+/-690,+/-781,+/-713,+/-716,+/-988,"+/-1,079","+/-1,018",+/-765,+/-572,+/-575,+/-414
"Lexington-Fayette, KY Metro Area; Kentucky",Lexington,Estimate,189717,17066,11305,10551,10471,9862,10661,8349,9356,8362,15720,18800,22737,14509,8277,6986,6705
,,Margin of Error,"+/-1,221",+/-838,+/-628,+/-690,+/-686,+/-747,+/-764,+/-676,+/-635,+/-678,+/-872,+/-960,"+/-1,040",+/-793,+/-566,+/-509,+/-578
"Detroit-Warren-Livonia, MI Metro Area; Michigan",Detroit,Estimate,1657772,132181,86718,89545,88819,85750,86688,78925,77915,68173,131254,163921,208714,136399,81436,78407,62927
,,Margin of Error,"+/-4,916","+/-2,256","+/-1,944","+/-1,934","+/-1,741","+/-1,706","+/-1,983","+/-1,969","+/-1,543","+/-1,679","+/-2,405","+/-2,347","+/-2,429","+/-2,118","+/-1,646","+/-1,704","+/-1,410"
"Duluth, MN-WI Metro Area (part); Minnesota",Duluth,Estimate,100266,8082,6871,6480,5799,6050,5636,4859,4935,4440,8753,11312,12050,6800,3594,2695,1910
,,Margin of Error,+/-709,+/-530,+/-425,+/-453,+/-411,+/-433,+/-387,+/-355,+/-352,+/-347,+/-466,+/-450,+/-562,+/-389,+/-289,+/-270,+/-213
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area (part); Minnesota",St. Paul,Estimate,1225011,62593,45068,48183,45513,50835,51391,51161,54096,46653,98932,134591,182796,127228,77340,77539,71092
,,Margin of Error,"+/-2,692","+/-1,538","+/-1,473","+/-1,383","+/-1,438","+/-1,360","+/-1,275","+/-1,469","+/-1,484","+/-1,271","+/-2,229","+/-2,247","+/-2,363","+/-2,124","+/-1,392","+/-1,587","+/-1,383"
"Gulfport-Biloxi, MS Metro Area; Mississippi",Biloxi,Estimate,92633,7923,6135,5649,6206,6016,5425,5346,4320,4241,7435,9538,10568,5930,3079,2872,1950
,,Margin of Error,"+/-1,089",+/-749,+/-632,+/-515,+/-593,+/-626,+/-620,+/-563,+/-420,+/-482,+/-555,+/-682,+/-646,+/-587,+/-393,+/-343,+/-343
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); North Carolina",Charlotte,Estimate,576242,35875,27758,27817,29569,29078,30875,28014,29382,26854,49331,60772,70435,46137,27076,27665,29604
,,Margin of Error,"+/-2,534","+/-1,312","+/-1,423","+/-1,181","+/-1,272","+/-1,142","+/-1,439","+/-1,237","+/-1,408","+/-1,182","+/-1,506","+/-1,626","+/-2,021","+/-1,528","+/-1,203","+/-1,220","+/-1,201"
"Grand Forks, ND-MN Metro Area (part); North Dakota",Grand Forks,Estimate,26760,2593,1885,1479,1585,1434,1561,1443,1150,1183,2102,2873,3245,1724,950,786,767
,,Margin of Error,+/-404,+/-304,+/-281,+/-252,+/-253,+/-225,+/-239,+/-216,+/-197,+/-209,+/-266,+/-293,+/-333,+/-211,+/-169,+/-154,+/-135
"Akron, OH Metro Area; Ohio",Akron,Estimate,283244,23080,16810,15086,15256,15050,16044,14159,14189,13261,24113,30323,34665,20209,11718,10529,8752
,,Margin of Error,"+/-1,585",+/-933,+/-859,+/-836,+/-854,+/-818,+/-876,+/-737,+/-771,+/-723,"+/-1,040","+/-1,135","+/-1,037",+/-758,+/-658,+/-545,+/-526
"State College, PA Metro Area; Pennsylvania",State College,Estimate,56134,5698,3068,3189,2848,3374,2622,2616,2933,2492,4473,5788,6748,4236,2153,1986,1910
,,Margin of Error,+/-723,+/-600,+/-391,+/-378,+/-343,+/-408,+/-284,+/-296,+/-376,+/-320,+/-393,+/-466,+/-468,+/-448,+/-284,+/-241,+/-239
"Columbia, SC Metro Area; South Carolina",Columbia,Estimate,291897,23907,15321,16925,16157,16139,16714,16046,15440,12111,25257,29621,35853,22263,11946,9953,8244
,,Margin of Error,"+/-1,685",+/-915,+/-915,+/-951,"+/-1,009","+/-1,018",+/-877,+/-963,+/-963,+/-821,"+/-1,020","+/-1,136","+/-1,269","+/-1,126",+/-686,+/-628,+/-611
"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area; South Carolina",Myrtle Beach,Estimate,112358,8406,7189,7639,7366,7028,7928,7465,5897,5672,9545,12027,11984,5642,3562,2548,2460
,,Margin of Error,"+/-1,401",+/-661,+/-632,+/-731,+/-692,+/-612,+/-725,+/-708,+/-541,+/-544,+/-707,+/-869,+/-869,+/-512,+/-462,+/-327,+/-282
"Aberdeen, SD Micro Area; South Dakota",Aberdeen,Estimate,16817,1249,1020,840,1094,957,1064,888,830,1027,1825,1970,1959,1115,377,270,332
,,Margin of Error,+/-347,+/-198,+/-185,+/-155,+/-209,+/-163,+/-172,+/-196,+/-164,+/-184,+/-256,+/-242,+/-247,+/-183,+/-111,+/-64,+/-98
